timestampUtc,severity,outcome,ruleId,kind,sourcePath,line,column,jsonPath,message,oldValue,newValue
"2026-08-01T18:40:04.6162988Z","Info","Applied","gameObject.Id.LoadNames","PropertyRename","C:\work\HobbyStuff\storyboarding\Samples\ObjectPlayLevel1\GameExportedJson\SingleRoomAntics.sbe.clean.json","45","7","$.gameObjects[0].sourceObjectId","Renamed legacy property sourceObjectId to Id.","""d029f4e3-4745-40e8-970b-8962b3cfb9d3""","""d029f4e3-4745-40e8-970b-8962b3cfb9d3"""
"2026-08-01T18:40:04.6163396Z","Info","Applied","gameObject.Id.LoadNames","PropertyRename","C:\work\HobbyStuff\storyboarding\Samples\ObjectPlayLevel1\GameExportedJson\SingleRoomAntics.sbe.clean.rooms\9b5984061f5444e1a058befc9e88f732.clean.room.json","10","7","$.gameObjects[0].sourceObjectId","Renamed legacy property sourceObjectId to Id.","""615c592b-5a80-451c-a420-0f5e8b2cd752""","""615c592b-5a80-451c-a420-0f5e8b2cd752"""
"2026-08-01T18:40:04.6163463Z","Info","Applied","gameObject.Id.LoadNames","PropertyRename","C:\work\HobbyStuff\storyboarding\Samples\ObjectPlayLevel1\GameExportedJson\SingleRoomAntics.sbe.clean.rooms\9b5984061f5444e1a058befc9e88f732.clean.room.json","141","7","$.gameObjects[1].sourceObjectId","Renamed legacy property sourceObjectId to Id.","""7a40970d-d1e2-4023-a4b6-73f3c3488960""","""7a40970d-d1e2-4023-a4b6-73f3c3488960"""
