timestampUtc,severity,event,sourcePath,message
"2026-09-01T22:23:33.9781892Z","Info","OpenProject","C:\work\HobbyStuff\storyboarding\Samples\Birmingham\Birmingham.sbe.json","Project load completed."
"2026-09-01T22:23:33.9782700Z","Warning","VocabularyDefaultsInjected","C:\work\HobbyStuff\storyboarding\Samples\Birmingham\Birmingham.sbe.json","commandVerbs property was missing; default verbs were injected."
"2026-09-01T22:23:33.9782718Z","Warning","VocabularyDefaultsInjected","C:\work\HobbyStuff\storyboarding\Samples\Birmingham\Birmingham.sbe.json","directionals property was missing; default directionals were injected."
